category,file,x0,y0,x1,y1,pixels,width,height
buttons,testpilot_buttons_034.png,504,419,672,463,7102,174,50
buttons,testpilot_buttons_035.png,979,420,1148,464,7333,175,50
buttons,testpilot_buttons_036.png,1210,420,1380,466,7350,176,52
buttons,testpilot_buttons_037.png,738,475,914,527,8783,182,58
buttons,testpilot_buttons_038.png,41,480,208,521,6719,173,47
buttons,testpilot_buttons_039.png,273,480,438,521,6610,171,47
buttons,testpilot_buttons_040.png,504,480,672,521,6734,174,47
buttons,testpilot_buttons_041.png,1210,480,1381,521,6851,177,47
buttons,testpilot_buttons_042.png,979,481,1148,521,6638,175,46
buttons,testpilot_buttons_043.png,740,531,895,578,6797,161,53
buttons,testpilot_buttons_044.png,41,536,181,573,5042,146,43
buttons,testpilot_buttons_045.png,273,536,414,572,4980,147,42
buttons,testpilot_buttons_046.png,504,536,645,572,4987,147,42
buttons,testpilot_buttons_047.png,980,536,1127,573,5184,153,43
buttons,testpilot_buttons_048.png,1213,536,1357,572,5085,150,42
buttons,testpilot_buttons_049.png,740,579,895,621,6299,161,48
buttons,testpilot_buttons_050.png,1213,582,1357,616,4741,150,40
buttons,testpilot_buttons_051.png,41,583,181,616,4545,146,39
buttons,testpilot_buttons_052.png,273,583,413,616,4558,146,39
buttons,testpilot_buttons_053.png,504,583,645,616,4580,147,39
buttons,testpilot_buttons_054.png,980,583,1126,616,4755,152,39
buttons,testpilot_buttons_055.png,1027,628,1107,708,5038,86,86
buttons,testpilot_buttons_056.png,365,632,436,708,4967,77,82
buttons,testpilot_buttons_057.png,1338,633,1408,703,3850,76,76
buttons,testpilot_buttons_058.png,259,634,325,702,4191,72,74
buttons,testpilot_buttons_059.png,602,634,668,702,4256,72,74
buttons,testpilot_buttons_060.png,731,634,797,701,3460,72,73
buttons,testpilot_buttons_061.png,930,634,998,702,3653,74,74
buttons,testpilot_buttons_062.png,1136,634,1202,701,3446,72,73
buttons,testpilot_buttons_063.png,41,635,107,701,4193,72,72
buttons,testpilot_buttons_064.png,149,635,215,702,4199,72,73
buttons,testpilot_buttons_065.png,483,635,549,702,4188,72,73
buttons,testpilot_buttons_066.png,827,635,894,703,3612,73,74
buttons,testpilot_buttons_067.png,1240,635,1304,701,3352,70,72
buttons,testpilot_buttons_068.png,1034,711,1100,778,3478,72,73
buttons,testpilot_buttons_069.png,369,712,433,778,3995,70,72
buttons,testpilot_buttons_070.png,46,716,102,774,3078,62,64
buttons,testpilot_buttons_071.png,153,716,211,774,3210,64,64
buttons,testpilot_buttons_072.png,263,716,321,774,3199,64,64
buttons,testpilot_buttons_073.png,487,716,545,774,3177,64,64
buttons,testpilot_buttons_074.png,607,716,663,774,3101,62,64
buttons,testpilot_buttons_075.png,736,717,792,774,2506,62,63
buttons,testpilot_buttons_076.png,832,717,889,774,2584,63,63
buttons,testpilot_buttons_077.png,935,717,993,774,2607,64,63
buttons,testpilot_buttons_078.png,1141,717,1196,773,2458,61,62
buttons,testpilot_buttons_079.png,1346,717,1402,775,2564,62,64
buttons,testpilot_buttons_080.png,1245,718,1300,773,2400,61,61
buttons,testpilot_buttons_081.png,376,785,425,835,2154,55,56
buttons,testpilot_buttons_082.png,1042,785,1093,835,2026,57,56
buttons,testpilot_buttons_083.png,271,788,314,831,1686,49,49
buttons,testpilot_buttons_084.png,743,788,785,830,1395,48,48
buttons,testpilot_buttons_085.png,1148,788,1189,830,1363,47,48
buttons,testpilot_buttons_086.png,1352,788,1396,831,1529,50,49
buttons,testpilot_buttons_087.png,52,789,95,831,1707,49,48
buttons,testpilot_buttons_088.png,160,789,204,831,1723,50,48
buttons,testpilot_buttons_089.png,495,789,537,831,1677,48,48
buttons,testpilot_buttons_090.png,613,789,657,831,1702,50,48
buttons,testpilot_buttons_091.png,839,789,882,830,1394,49,47
buttons,testpilot_buttons_092.png,943,789,985,830,1380,48,47
buttons,testpilot_buttons_093.png,1252,789,1294,830,1357,48,47
buttons,testpilot_buttons_094.png,810,856,1019,924,13498,215,74
buttons,testpilot_buttons_095.png,41,860,315,921,15544,280,67
buttons,testpilot_buttons_096.png,338,860,553,918,11974,221,64
buttons,testpilot_buttons_097.png,578,860,790,920,11888,218,66
buttons,testpilot_buttons_098.png,1036,861,1183,918,8082,153,63
buttons,testpilot_buttons_099.png,1203,861,1408,917,10847,211,62
buttons,testpilot_buttons_100.png,665,936,827,988,7816,168,58
buttons,testpilot_buttons_101.png,1016,936,1176,987,7428,166,57
buttons,testpilot_buttons_102.png,1202,936,1408,986,9314,212,56
buttons,testpilot_buttons_103.png,41,938,246,987,9406,211,55
buttons,testpilot_buttons_104.png,265,938,447,987,8228,188,55
buttons,testpilot_buttons_105.png,467,938,644,985,7942,183,53
buttons,testpilot_buttons_106.png,848,938,998,985,6694,156,53
buttons,testpilot_buttons_107.png,538,1002,671,1045,5193,139,49
buttons,testpilot_buttons_108.png,41,1004,189,1043,5386,154,45
buttons,testpilot_buttons_109.png,211,1004,356,1043,5241,151,45
buttons,testpilot_buttons_110.png,380,1004,515,1042,4860,141,44
buttons,testpilot_buttons_111.png,691,1004,819,1042,4502,134,44
buttons,testpilot_buttons_112.png,843,1004,1007,1043,5969,170,45
buttons,testpilot_buttons_113.png,1031,1004,1156,1043,4482,131,45
buttons,testpilot_buttons_114.png,1180,1004,1283,1043,3642,109,45
buttons,testpilot_buttons_115.png,1310,1004,1408,1043,3437,104,45
tabs,testpilot_tabs_001.png,30,30,220,98,12847,196,74
tabs,testpilot_tabs_002.png,1229,30,1421,97,12507,198,73
tabs,testpilot_tabs_003.png,229,31,421,97,12436,198,72
tabs,testpilot_tabs_004.png,429,31,621,97,12398,198,72
tabs,testpilot_tabs_005.png,628,31,821,97,12477,199,72
tabs,testpilot_tabs_006.png,829,31,1020,97,12384,197,72
tabs,testpilot_tabs_007.png,1028,31,1222,97,12482,200,72
tabs,testpilot_tabs_008.png,827,117,1021,189,13618,200,78
tabs,testpilot_tabs_009.png,30,120,220,186,12472,196,72
tabs,testpilot_tabs_010.png,429,120,620,188,12453,197,74
tabs,testpilot_tabs_011.png,628,120,821,187,12471,199,73
tabs,testpilot_tabs_012.png,1028,120,1221,186,12504,199,72
tabs,testpilot_tabs_013.png,1229,120,1419,186,12122,196,72
tabs,testpilot_tabs_014.png,229,121,421,186,12344,198,71
tabs,testpilot_tabs_015.png,736,209,902,266,8744,172,63
tabs,testpilot_tabs_016.png,29,211,194,264,8199,171,59
tabs,testpilot_tabs_017.png,207,211,370,266,8200,169,61
tabs,testpilot_tabs_018.png,383,211,547,265,8131,170,60
tabs,testpilot_tabs_019.png,560,211,724,264,8123,170,59
tabs,testpilot_tabs_020.png,916,211,1080,266,8162,170,61
tabs,testpilot_tabs_021.png,1111,211,1420,267,16133,315,62
tabs,testpilot_tabs_022.png,30,294,259,358,14294,235,70
tabs,testpilot_tabs_023.png,303,297,460,351,8224,163,60
tabs,testpilot_tabs_024.png,626,300,738,364,6921,118,70
tabs,testpilot_tabs_025.png,748,303,864,364,6703,122,67
tabs,testpilot_tabs_026.png,1032,304,1148,366,6888,122,68
tabs,testpilot_tabs_027.png,502,305,617,364,6606,121,65
tabs,testpilot_tabs_028.png,876,305,1013,364,7889,143,65
tabs,testpilot_tabs_029.png,1158,306,1277,364,6708,125,64
tabs,testpilot_tabs_030.png,1291,306,1415,365,7067,130,65
tabs,testpilot_tabs_031.png,45,358,130,359,85,91,7
tabs,testpilot_tabs_032.png,136,358,195,359,59,65,7
tabs,testpilot_tabs_033.png,303,361,460,414,8227,163,59
tabs,testpilot_tabs_034.png,30,365,259,429,14329,235,70
tabs,testpilot_tabs_035.png,1055,400,1236,484,14935,187,90
tabs,testpilot_tabs_036.png,502,402,675,484,13942,179,88
tabs,testpilot_tabs_037.png,685,402,862,483,14119,183,87
tabs,testpilot_tabs_038.png,871,402,1045,484,13984,180,88
tabs,testpilot_tabs_039.png,1243,402,1419,484,14149,182,88
tabs,testpilot_tabs_040.png,303,425,460,478,8233,163,59
tabs,testpilot_tabs_041.png,30,437,259,502,14527,235,71
tabs,testpilot_tabs_042.png,303,488,461,542,8287,164,60
tabs,testpilot_tabs_043.png,30,509,259,576,14643,235,73
tabs,testpilot_tabs_044.png,502,517,675,595,13185,179,84
tabs,testpilot_tabs_045.png,685,517,858,595,13158,179,84
tabs,testpilot_tabs_046.png,870,517,1232,595,27055,368,84
tabs,testpilot_tabs_047.png,1243,517,1419,595,13169,182,84
tabs,testpilot_tabs_048.png,301,549,464,610,9757,169,67
tabs,testpilot_tabs_049.png,39,574,102,576,109,69,8
tabs,testpilot_tabs_050.png,26,577,264,650,17096,244,79
tabs,testpilot_tabs_051.png,303,616,460,669,8229,163,59
tabs,testpilot_tabs_052.png,1163,620,1282,669,5183,125,55
tabs,testpilot_tabs_053.png,884,622,1008,668,5120,130,52
tabs,testpilot_tabs_054.png,1025,623,1148,668,4946,129,51
tabs,testpilot_tabs_055.png,1290,624,1414,667,4990,130,49
tabs,testpilot_tabs_056.png,501,625,567,666,2324,72,47
tabs,testpilot_tabs_057.png,768,625,836,665,2391,74,46
tabs,testpilot_tabs_058.png,588,626,650,665,2127,68,45
tabs,testpilot_tabs_059.png,674,626,744,665,2430,76,45
tabs,testpilot_tabs_060.png,30,656,259,718,13909,235,68
tabs,testpilot_tabs_061.png,1024,693,1142,747,6069,124,60
tabs,testpilot_tabs_062.png,1160,693,1276,747,6060,122,60
tabs,testpilot_tabs_063.png,1292,693,1415,747,6301,129,60
tabs,testpilot_tabs_064.png,500,694,571,733,2440,77,45
tabs,testpilot_tabs_065.png,671,694,748,734,2662,83,46
tabs,testpilot_tabs_066.png,884,694,1005,747,6241,127,59
tabs,testpilot_tabs_067.png,584,695,656,733,2435,78,44
tabs,testpilot_tabs_068.png,766,695,838,733,2490,78,44
tabs,testpilot_tabs_069.png,31,752,281,852,23312,256,106
tabs,testpilot_tabs_070.png,391,765,823,824,24112,438,65
tabs,testpilot_tabs_071.png,893,775,1004,825,4904,117,56
tabs,testpilot_tabs_072.png,1162,775,1277,824,5018,121,55
tabs,testpilot_tabs_073.png,1026,776,1140,823,4818,120,53
tabs,testpilot_tabs_074.png,1300,776,1415,823,4870,121,53
tabs,testpilot_tabs_075.png,699,823,812,824,113,119,7
tabs,testpilot_tabs_076.png,391,833,823,890,24028,438,63
tabs,testpilot_tabs_077.png,892,845,1005,905,6390,119,66
tabs,testpilot_tabs_078.png,1027,845,1141,903,6357,120,64
tabs,testpilot_tabs_079.png,1163,845,1276,903,6312,119,64
tabs,testpilot_tabs_080.png,1300,845,1415,903,6360,121,64
tabs,testpilot_tabs_081.png,31,855,281,903,11643,256,54
tabs,testpilot_tabs_082.png,390,905,823,962,24139,439,63
tabs,testpilot_tabs_083.png,26,907,286,1061,38268,266,160
tabs,testpilot_tabs_084.png,1160,925,1278,972,5049,124,53
tabs,testpilot_tabs_085.png,894,927,1003,971,4395,115,50
tabs,testpilot_tabs_086.png,1026,927,1140,971,4579,120,50
tabs,testpilot_tabs_087.png,1301,927,1413,970,4466,118,49
tabs,testpilot_tabs_088.png,391,982,823,1039,24376,438,63
tabs,testpilot_tabs_089.png,1217,1000,1306,1046,3662,95,52
tabs,testpilot_tabs_090.png,895,1001,980,1046,3437,91,51
tabs,testpilot_tabs_091.png,1109,1001,1193,1045,3267,90,50
tabs,testpilot_tabs_092.png,1327,1001,1412,1045,3323,91,50
tabs,testpilot_tabs_093.png,1002,1002,1085,1045,3187,89,49
icons,testpilot_icons_001.png,890,87,967,181,6665,83,100
icons,testpilot_icons_002.png,46,90,135,178,5540,95,94
icons,testpilot_icons_003.png,328,90,415,180,6424,93,96
icons,testpilot_icons_004.png,469,90,555,181,6300,92,97
icons,testpilot_icons_005.png,599,90,694,185,6292,101,101
icons,testpilot_icons_006.png,1032,90,1110,180,6958,84,96
icons,testpilot_icons_007.png,745,91,832,181,4388,93,96
icons,testpilot_icons_008.png,1313,91,1401,180,5621,94,95
icons,testpilot_icons_009.png,1195,94,1245,177,3364,56,89
icons,testpilot_icons_010.png,189,98,272,175,5689,89,83
icons,testpilot_icons_011.png,1170,140,1194,177,865,30,43
icons,testpilot_icons_012.png,469,222,545,315,6503,82,99
icons,testpilot_icons_013.png,181,227,272,313,6231,97,92
icons,testpilot_icons_014.png,54,228,124,314,5700,76,92
icons,testpilot_icons_015.png,611,228,686,314,6345,81,92
icons,testpilot_icons_016.png,750,228,824,314,4950,80,92
icons,testpilot_icons_017.png,1169,229,1252,314,3811,89,91
icons,testpilot_icons_018.png,330,230,407,309,5836,83,85
icons,testpilot_icons_019.png,891,230,971,310,4693,86,86
icons,testpilot_icons_020.png,1319,232,1393,309,2932,80,83
icons,testpilot_icons_021.png,1047,234,1094,292,1529,53,64
icons,testpilot_icons_022.png,1033,277,1108,306,885,81,35
icons,testpilot_icons_023.png,331,364,405,449,4844,80,91
icons,testpilot_icons_024.png,49,367,127,446,5879,84,85
icons,testpilot_icons_025.png,187,367,266,446,2559,85,85
icons,testpilot_icons_026.png,466,367,545,448,4974,85,87
icons,testpilot_icons_027.png,609,367,688,406,1263,85,45
icons,testpilot_icons_028.png,747,367,827,449,5089,86,88
icons,testpilot_icons_029.png,1031,367,1112,449,5169,87,88
icons,testpilot_icons_030.png,1174,367,1255,449,5176,87,88
icons,testpilot_icons_031.png,887,371,973,449,4299,92,84
icons,testpilot_icons_032.png,1346,377,1362,393,197,22,22
icons,testpilot_icons_033.png,1346,400,1361,416,190,21,22
icons,testpilot_icons_034.png,606,411,684,447,1214,84,42
icons,testpilot_icons_035.png,1346,422,1362,438,198,22,22
icons,testpilot_icons_036.png,330,496,405,584,6295,81,94
icons,testpilot_icons_037.png,468,496,544,584,6323,82,94
icons,testpilot_icons_038.png,608,496,683,584,6292,81,94
icons,testpilot_icons_039.png,746,496,819,584,6134,79,94
icons,testpilot_icons_040.png,189,501,266,578,2503,83,83
icons,testpilot_icons_041.png,1029,501,1113,578,6385,90,83
icons,testpilot_icons_042.png,47,502,131,576,5518,90,80
icons,testpilot_icons_043.png,887,502,972,579,6448,91,83
icons,testpilot_icons_044.png,1177,502,1214,576,2567,43,80
icons,testpilot_icons_045.png,1215,502,1253,576,2615,44,80
icons,testpilot_icons_046.png,1310,504,1403,574,6425,99,76
icons,testpilot_icons_047.png,891,623,961,714,5664,76,97
icons,testpilot_icons_048.png,46,627,134,717,6265,94,96
icons,testpilot_icons_049.png,518,627,544,710,1989,32,89
icons,testpilot_icons_050.png,1026,628,1113,717,4468,93,95
icons,testpilot_icons_051.png,1171,628,1259,717,4464,94,95
icons,testpilot_icons_052.png,1310,628,1397,717,4463,93,95
icons,testpilot_icons_053.png,186,630,270,712,4130,90,88
icons,testpilot_icons_054.png,752,630,822,713,4314,76,89
icons,testpilot_icons_055.png,607,632,691,711,2395,90,85
icons,testpilot_icons_056.png,322,640,413,706,5869,97,72
icons,testpilot_icons_057.png,466,654,517,710,2224,57,62
icons,testpilot_icons_058.png,334,767,406,840,4144,78,79
icons,testpilot_icons_059.png,471,768,542,840,3974,77,78
icons,testpilot_icons_060.png,752,768,819,838,4560,73,76
icons,testpilot_icons_061.png,614,769,682,838,4523,74,75
icons,testpilot_icons_062.png,1187,771,1241,839,1108,60,74
icons,testpilot_icons_063.png,1329,771,1380,839,1072,57,74
icons,testpilot_icons_064.png,36,772,143,835,5887,113,69
icons,testpilot_icons_065.png,180,772,279,834,5356,105,68
icons,testpilot_icons_066.png,900,778,959,832,1025,65,60
icons,testpilot_icons_067.png,1037,778,1102,832,1072,71,60
icons,testpilot_icons_068.png,924,899,966,946,821,48,53
icons,testpilot_icons_069.png,619,900,666,954,873,53,60
icons,testpilot_icons_070.png,765,900,807,955,779,48,61
icons,testpilot_icons_071.png,1046,900,1110,939,872,70,45
icons,testpilot_icons_072.png,52,907,86,970,693,40,69
icons,testpilot_icons_073.png,82,907,115,970,683,39,69
icons,testpilot_icons_074.png,193,907,227,969,690,40,68
icons,testpilot_icons_075.png,223,907,257,970,708,40,69
icons,testpilot_icons_076.png,898,908,961,974,1390,69,72
icons,testpilot_icons_077.png,1214,908,1247,972,781,39,70
icons,testpilot_icons_078.png,1324,908,1352,935,389,34,33
icons,testpilot_icons_079.png,1366,908,1394,934,385,34,32
icons,testpilot_icons_080.png,1177,909,1211,973,792,40,70
icons,testpilot_icons_081.png,333,915,401,953,780,74,44
icons,testpilot_icons_082.png,471,922,539,960,773,74,44
icons,testpilot_icons_083.png,1036,941,1100,980,844,70,45
icons,testpilot_icons_084.png,605,947,680,974,873,81,33
icons,testpilot_icons_085.png,748,947,823,974,873,81,33
icons,testpilot_icons_086.png,1324,947,1352,974,387,34,33
icons,testpilot_icons_087.png,1366,948,1394,974,383,34,32
window_style,testpilot_window_style_001.png,18,10,448,227,34542,436,223
window_style,testpilot_window_style_002.png,464,10,849,86,26913,391,82
window_style,testpilot_window_style_003.png,1089,13,1143,64,1270,60,57
window_style,testpilot_window_style_004.png,1168,13,1348,29,2706,186,22
window_style,testpilot_window_style_005.png,1373,13,1427,64,1270,60,57
window_style,testpilot_window_style_006.png,878,14,926,49,1645,54,41
window_style,testpilot_window_style_007.png,940,14,992,49,1797,58,41
window_style,testpilot_window_style_008.png,1006,14,1055,49,1700,55,41
window_style,testpilot_window_style_009.png,940,56,992,92,1840,58,42
window_style,testpilot_window_style_010.png,1006,56,1056,92,1757,56,42
window_style,testpilot_window_style_011.png,878,57,926,92,1635,54,41
window_style,testpilot_window_style_012.png,1089,81,1143,137,1433,60,62
window_style,testpilot_window_style_013.png,1372,81,1427,138,1448,61,63
window_style,testpilot_window_style_014.png,464,93,849,128,13355,391,41
window_style,testpilot_window_style_015.png,940,99,992,135,1834,58,42
window_style,testpilot_window_style_016.png,1006,99,1056,135,1744,56,42
window_style,testpilot_window_style_017.png,878,100,926,135,1645,54,41
window_style,testpilot_window_style_018.png,1168,121,1348,137,2867,186,22
window_style,testpilot_window_style_019.png,464,134,849,212,26791,391,84
window_style,testpilot_window_style_020.png,878,143,925,179,1610,53,42
window_style,testpilot_window_style_021.png,940,143,992,179,1846,58,42
window_style,testpilot_window_style_022.png,1006,143,1056,179,1749,56,42
window_style,testpilot_window_style_023.png,1089,150,1143,208,1405,60,64
window_style,testpilot_window_style_024.png,1168,150,1349,166,2701,187,22
window_style,testpilot_window_style_025.png,1372,150,1428,204,1357,62,60
window_style,testpilot_window_style_026.png,940,186,992,220,1669,58,40
window_style,testpilot_window_style_027.png,1006,186,1055,220,1545,55,40
window_style,testpilot_window_style_028.png,878,187,927,220,1485,55,39
window_style,testpilot_window_style_029.png,847,209,1159,409,53699,318,206
window_style,testpilot_window_style_030.png,1372,210,1426,232,817,60,28
window_style,testpilot_window_style_031.png,1168,218,1348,232,2511,186,20
window_style,testpilot_window_style_032.png,19,237,114,666,39728,101,435
window_style,testpilot_window_style_033.png,117,237,238,666,50255,127,435
window_style,testpilot_window_style_034.png,246,237,305,666,23856,65,435
window_style,testpilot_window_style_035.png,576,238,834,408,43254,264,176
window_style,testpilot_window_style_036.png,316,239,562,409,41622,252,176
window_style,testpilot_window_style_037.png,1175,243,1429,283,10075,260,46
window_style,testpilot_window_style_038.png,1175,290,1429,333,10328,260,49
window_style,testpilot_window_style_039.png,1175,338,1429,426,20346,260,94
window_style,testpilot_window_style_040.png,315,424,515,502,14364,206,84
window_style,testpilot_window_style_041.png,533,424,708,501,12640,181,83
window_style,testpilot_window_style_042.png,732,424,903,501,12893,177,83
window_style,testpilot_window_style_043.png,943,436,967,460,545,30,30
window_style,testpilot_window_style_044.png,995,436,1018,460,534,29,30
window_style,testpilot_window_style_045.png,1044,436,1067,460,532,29,30
window_style,testpilot_window_style_046.png,1097,436,1120,460,530,29,30
window_style,testpilot_window_style_047.png,1349,439,1374,646,5104,31,213
window_style,testpilot_window_style_048.png,1405,440,1429,645,4539,30,211
window_style,testpilot_window_style_049.png,1153,441,1196,464,837,49,29
window_style,testpilot_window_style_050.png,1266,441,1272,643,1027,12,208
window_style,testpilot_window_style_051.png,1288,441,1318,645,6096,36,210
window_style,testpilot_window_style_052.png,1336,441,1342,643,1021,12,208
window_style,testpilot_window_style_053.png,1385,441,1390,643,1003,11,208
window_style,testpilot_window_style_054.png,1212,442,1233,462,344,27,26
window_style,testpilot_window_style_055.png,945,479,965,501,419,26,28
window_style,testpilot_window_style_056.png,996,479,1016,501,421,26,28
window_style,testpilot_window_style_057.png,1044,479,1065,501,439,27,28
window_style,testpilot_window_style_058.png,1098,480,1119,501,425,27,27
window_style,testpilot_window_style_059.png,1153,480,1195,502,790,48,28
window_style,testpilot_window_style_060.png,1211,480,1233,502,373,28,28
window_style,testpilot_window_style_061.png,675,502,703,506,55,34,10
window_style,testpilot_window_style_062.png,535,507,709,543,6013,180,42
window_style,testpilot_window_style_063.png,734,507,903,542,5840,175,41
window_style,testpilot_window_style_064.png,316,508,514,545,6821,204,43
window_style,testpilot_window_style_065.png,1153,519,1195,542,871,48,29
window_style,testpilot_window_style_066.png,1211,519,1233,541,370,28,28
window_style,testpilot_window_style_067.png,944,520,966,542,455,28,28
window_style,testpilot_window_style_068.png,995,520,1017,542,446,28,28
window_style,testpilot_window_style_069.png,1044,520,1066,542,446,28,28
window_style,testpilot_window_style_070.png,1098,521,1120,542,444,28,27
window_style,testpilot_window_style_071.png,533,548,709,663,18462,182,121
window_style,testpilot_window_style_072.png,315,549,514,664,21197,205,121
window_style,testpilot_window_style_073.png,734,549,903,582,5547,175,39
window_style,testpilot_window_style_074.png,1152,561,1197,585,933,51,30
window_style,testpilot_window_style_075.png,1214,564,1233,583,291,25,25
window_style,testpilot_window_style_076.png,945,569,965,589,320,26,26
window_style,testpilot_window_style_077.png,996,569,1017,589,329,27,26
window_style,testpilot_window_style_078.png,1045,569,1066,589,341,27,26
window_style,testpilot_window_style_079.png,1099,569,1119,589,317,26,26
window_style,testpilot_window_style_080.png,734,587,903,622,5794,175,41
window_style,testpilot_window_style_081.png,1153,603,1197,628,966,50,31
window_style,testpilot_window_style_082.png,1213,604,1258,629,991,51,31
window_style,testpilot_window_style_083.png,1045,607,1066,628,339,27,27
window_style,testpilot_window_style_084.png,945,608,965,628,148,26,26
window_style,testpilot_window_style_085.png,997,608,1016,628,305,25,26
window_style,testpilot_window_style_086.png,1099,608,1119,628,308,26,26
window_style,testpilot_window_style_087.png,734,629,903,663,5708,175,40
window_style,testpilot_window_style_088.png,366,682,462,716,3021,102,40
window_style,testpilot_window_style_089.png,470,682,570,716,3128,106,40
window_style,testpilot_window_style_090.png,579,682,680,716,3181,107,40
window_style,testpilot_window_style_091.png,689,682,789,716,3149,106,40
window_style,testpilot_window_style_092.png,801,682,899,716,3097,104,40
window_style,testpilot_window_style_093.png,913,685,1013,717,3095,106,38
window_style,testpilot_window_style_094.png,1023,685,1099,718,2385,82,39
window_style,testpilot_window_style_095.png,20,687,267,704,3977,253,23
window_style,testpilot_window_style_096.png,1121,688,1324,777,13744,209,95
window_style,testpilot_window_style_097.png,1122,689,1168,729,1739,52,46
window_style,testpilot_window_style_098.png,1346,689,1427,728,2998,87,45
window_style,testpilot_window_style_099.png,308,690,326,706,226,24,22
window_style,testpilot_window_style_100.png,20,714,267,734,4016,253,26
window_style,testpilot_window_style_101.png,308,718,326,735,234,24,23
window_style,testpilot_window_style_102.png,470,721,570,758,3111,106,43
window_style,testpilot_window_style_103.png,365,723,462,756,2933,103,39
window_style,testpilot_window_style_104.png,579,723,680,758,3073,107,41
window_style,testpilot_window_style_105.png,689,723,789,757,3057,106,40
window_style,testpilot_window_style_106.png,801,723,898,756,2918,103,39
window_style,testpilot_window_style_107.png,912,723,1013,759,3290,107,42
window_style,testpilot_window_style_108.png,1022,724,1100,757,2484,84,39
window_style,testpilot_window_style_109.png,1346,736,1428,776,3067,88,46
window_style,testpilot_window_style_110.png,309,745,325,762,220,22,23
window_style,testpilot_window_style_111.png,20,748,267,765,3923,253,23
window_style,testpilot_window_style_112.png,308,770,325,789,235,23,25
window_style,testpilot_window_style_113.png,365,777,890,926,77425,531,155
window_style,testpilot_window_style_114.png,20,780,267,797,4111,253,23
window_style,testpilot_window_style_115.png,909,787,1428,929,72898,525,148
window_style,testpilot_window_style_116.png,309,799,325,816,212,22,23
window_style,testpilot_window_style_117.png,20,812,267,828,3905,253,22
window_style,testpilot_window_style_118.png,308,827,326,844,238,24,23
window_style,testpilot_window_style_119.png,20,843,267,859,3898,253,22
window_style,testpilot_window_style_120.png,309,856,326,872,218,23,22
window_style,testpilot_window_style_121.png,20,874,267,897,5616,253,29
window_style,testpilot_window_style_122.png,309,883,325,900,222,22,23
window_style,testpilot_window_style_123.png,134,940,231,976,3429,103,42
window_style,testpilot_window_style_124.png,241,940,338,976,3434,103,42
window_style,testpilot_window_style_125.png,366,940,432,977,2346,72,43
window_style,testpilot_window_style_126.png,21,941,122,976,3500,107,41
window_style,testpilot_window_style_127.png,444,941,511,977,2379,73,42
window_style,testpilot_window_style_128.png,521,941,603,979,2922,88,44
window_style,testpilot_window_style_129.png,611,941,644,979,1184,39,44
window_style,testpilot_window_style_130.png,1197,941,1311,1022,9103,120,87
window_style,testpilot_window_style_131.png,769,942,904,1022,10725,141,86
window_style,testpilot_window_style_132.png,913,942,1047,1022,10672,140,86
window_style,testpilot_window_style_133.png,1056,942,1187,1022,10396,137,86
window_style,testpilot_window_style_134.png,1370,943,1377,1019,381,13,82
window_style,testpilot_window_style_135.png,1334,944,1339,1019,350,11,81
window_style,testpilot_window_style_136.png,1409,944,1414,1019,270,11,81
window_style,testpilot_window_style_137.png,701,945,707,1019,439,12,80
